agent_id,distinct_names_seen
AGT0000206,10
AGT0000207,10
AGT0000208,10
AGT0000209,8
AGT0000210,10
AGT0000211,9
AGT0000212,10
AGT0000213,10
AGT0000214,10
AGT0000215,10
AGT0000216,9
AGT0000217,10
AGT0000218,10
AGT0000219,10
AGT0000220,10
AGT0000221,10
AGT0000222,10
AGT0000223,10
AGT0000224,10
AGT0000225,10
AGT0000226,10
AGT0000227,10
AGT0000228,10
AGT0000229,9
AGT0000230,9
AGT0000231,8
AGT0000232,9
AGT0000233,10
AGT0000234,9
AGT0000235,10
AGT0000236,10
AGT0000237,10
AGT0000238,10
AGT0000239,9
AGT0000240,10
AGT0000241,9
AGT0000242,9
AGT0000243,10
AGT0000244,9
AGT0000245,9
AGT0000246,9
AGT0000247,10
AGT0000248,10
AGT0000249,9
AGT0000250,9
AGT0000251,10
AGT0000252,10
AGT0000253,10
AGT0000254,10
AGT0000255,9
AGT0000256,9
AGT0000257,10
AGT0000258,10
AGT0000259,10
AGT0000260,10
AGT0000261,8
AGT0000262,10
AGT0000263,10
AGT0000264,9
AGT0000265,10
AGT0000266,10
AGT0000267,9
AGT0000268,10
AGT0000269,10
AGT0000270,9
AGT0000271,7
AGT0000272,9
AGT0000273,7
AGT0000274,8
AGT0000275,9
AGT0000276,8
AGT0000277,10
AGT0000278,10
AGT0000279,9
AGT0000280,10
AGT0000281,10
AGT0000282,9
AGT0000283,10
AGT0000284,10
AGT0000285,10
AGT0000286,10
AGT0000287,10
AGT0000288,9
AGT0000289,9
AGT0000290,10
AGT0000291,10
AGT0000292,9
AGT0000293,8
AGT0000294,10
AGT0000295,9
AGT0000296,10
AGT0000297,10
AGT0000298,9
AGT0000299,10
AGT0000300,9
AGT0000301,10
AGT0000302,10
AGT0000303,10
AGT0000304,10
AGT0000305,10
AGT0000306,10
AGT0000307,10
AGT0000308,9
AGT0000309,10
AGT0000310,10
AGT0000311,10
AGT0000312,9
AGT0000313,9
AGT0000314,9
AGT0000315,10
AGT0000316,9
AGT0000317,7
AGT0000318,10
AGT0000319,10
AGT0000320,9
AGT0000321,10
AGT0000322,10
AGT0000323,10
AGT0000324,10
AGT0000325,10
AGT0000326,10
AGT0000327,10
AGT0000328,10
AGT0000329,10
AGT0000330,9
AGT0000331,10
AGT0000332,9
AGT0000333,7
AGT0000334,9
AGT0000335,9
AGT0000336,10
AGT0000337,9
AGT0000338,9
AGT0000339,10
AGT0000340,10
AGT0000341,8
AGT0000342,10
AGT0000343,10
AGT0000344,10
AGT0000345,8
AGT0000346,10
AGT0000347,10
AGT0000348,8
AGT0000349,10
AGT0000350,9
AGT0000351,10
AGT0000352,10
AGT0000353,8
AGT0000354,10
AGT0000355,8
AGT0000356,10
AGT0000357,9
AGT0000358,9
AGT0000359,10
AGT0000360,10
AGT0000361,10
AGT0000362,10
AGT0000363,8
AGT0000364,9
AGT0000365,10
AGT0000366,9
AGT0000367,10
AGT0000368,10
AGT0000369,10
AGT0000370,9
AGT0000371,10
AGT0000372,10
AGT0000373,10
AGT0000374,10
AGT0000375,9
AGT0000376,10
AGT0000377,10
AGT0000378,10
AGT0000379,10
AGT0000380,9
AGT0000381,10
AGT0000382,10
AGT0000383,10
AGT0000384,9
AGT0000385,10
AGT0000386,10
AGT0000387,10
AGT0000388,9
AGT0000389,9
AGT0000390,10
AGT0000391,8
AGT0000392,10
AGT0000393,10
AGT0000394,8
AGT0000395,9
AGT0000396,9
AGT0000397,9
AGT0000398,7
AGT0000399,10
AGT0000400,9
AGT0000401,9
AGT0000402,10
AGT0000403,9
AGT0000404,10
AGT0000405,9
AGT0000406,10
AGT0000407,10
AGT0000408,10
AGT0000409,9
AGT0000410,10
AGT0000411,10
AGT0000412,9
AGT0000413,10
AGT0000414,10
AGT0000415,10
AGT0000416,9
AGT0000417,8
AGT0000418,9
AGT0000419,8
AGT0000420,9
AGT0000421,9
AGT0000422,9
AGT0000423,10
AGT0000424,10
AGT0000425,10
AGT0000426,10
AGT0000427,10
AGT0000428,9
AGT0000429,10
AGT0000430,9
AGT0000431,10
AGT0000432,10
AGT0000433,10
AGT0000434,9
AGT0000435,10
AGT0000436,8
AGT0000437,10
AGT0000438,10
AGT0000439,10
AGT0000440,10
AGT0000441,9
AGT0000442,10
AGT0000443,10
AGT0000444,9
AGT0000445,10
AGT0000446,7
AGT0000447,8
AGT0000448,9
AGT0000449,10
AGT0000450,9
AGT0000451,10
AGT0000452,10
AGT0000453,10
AGT0000454,9
AGT0000455,10
AGT0000456,10
AGT0000457,9
AGT0000458,10
AGT0000459,10
AGT0000460,10
AGT0000461,10
AGT0000462,9
AGT0000463,9
AGT0000464,10
AGT0000465,8
AGT0000466,8
AGT0000467,9
AGT0000468,10
AGT0000469,9
AGT0000470,10
AGT0000471,9
AGT0000472,10
AGT0000473,10
AGT0000474,10
AGT0000475,9
AGT0000476,10
AGT0000477,10
AGT0000478,9
AGT0000479,10
AGT0000480,10
AGT0000481,10
AGT0000482,10
AGT0000483,10
AGT0000484,9
AGT0000485,10
AGT0000486,8
AGT0000487,9
AGT0000488,8
AGT0000489,10
AGT0000490,9
AGT0000491,9
AGT0000492,10
AGT0000493,9
AGT0000494,10
AGT0000495,8
AGT0000496,10
AGT0000497,10
AGT0000498,10
AGT0000499,10
AGT0000500,10
AGT0000501,10
AGT0000502,10
AGT0000503,10
AGT0000504,8
AGT0000505,9
AGT0000506,9
AGT0000507,9
AGT0000508,8
AGT0000509,9
AGT0000510,10
AGT0000511,9
AGT0000512,10
AGT0000513,10
AGT0000514,10
AGT0000515,9
AGT0000516,8
AGT0000517,10
AGT0000518,10
AGT0000519,9
AGT0000520,10
AGT0000521,10
AGT0000522,9
AGT0000523,8
AGT0000524,10
AGT0000525,10
AGT0000526,10
AGT0000527,10
AGT0000528,10
AGT0000529,9
AGT0000530,10
AGT0000531,10
AGT0000532,9
AGT0000533,10
AGT0000534,10
AGT0000535,10
AGT0000536,10
AGT0000537,10
AGT0000538,7
AGT0000539,10
AGT0000540,10
AGT0000541,10
AGT0000542,10
AGT0000543,10
AGT0000544,10
AGT0000545,9
AGT0000546,9
AGT0000547,9
AGT0000548,10
AGT0000549,9
AGT0000550,10
AGT0000551,10
AGT0000552,8
AGT0000553,10
AGT0000554,10
AGT0000555,10
AGT0000556,10
AGT0000557,10
AGT0000558,10
AGT0000559,10
AGT0000560,10
AGT0000561,10
AGT0000562,9
AGT0000563,10
AGT0000564,10
AGT0000565,9
AGT0000566,10
AGT0000567,8
AGT0000568,10
AGT0000569,9
AGT0000570,9
AGT0000571,10
AGT0000572,6
AGT0000573,9
AGT0000574,9
AGT0000575,10
AGT0000576,10
AGT0000577,8
AGT0000578,8
AGT0000579,10
AGT0000580,10
AGT0000581,10
AGT0000582,9
AGT0000583,10
AGT0000584,10
AGT0000585,9
AGT0000586,10
AGT0000587,9
AGT0000588,10
AGT0000589,10
AGT0000590,10
AGT0000591,10
AGT0000592,8
AGT0000593,10
AGT0000594,9
AGT0000595,10
AGT0000596,10
AGT0000597,10
AGT0000598,10
AGT0000599,10
AGT0000600,9
AGT0000601,10
AGT0000602,8
AGT0000603,10
AGT0000604,10
AGT0000605,9
AGT0000606,9
AGT0000607,9
AGT0000608,10
AGT0000609,10
AGT0000610,8
AGT0000611,9
AGT0000612,10
AGT0000613,10
AGT0000614,10
AGT0000615,10
AGT0000616,10
AGT0000617,9
AGT0000618,9
AGT0000619,10
AGT0000620,10
AGT0000621,10
AGT0000622,8
AGT0000623,10
AGT0000624,10
AGT0000625,9
AGT0000626,9
AGT0000627,9
AGT0000628,9
AGT0000629,10
AGT0000630,10
AGT0000631,10
AGT0000632,9
AGT0000633,10
AGT0000634,9
AGT0000635,9
AGT0000636,9
AGT0000637,9
AGT0000638,10
AGT0000639,9
AGT0000640,9
AGT0000641,9
AGT0000642,8
AGT0000643,10
AGT0000644,10
AGT0000645,9
AGT0000646,10
AGT0000647,10
AGT0000648,10
AGT0000649,10
AGT0000650,9
AGT0000651,8
AGT0000652,10
AGT0000653,10
AGT0000654,9
AGT0000655,8
AGT0000656,10
AGT0000657,9
AGT0000658,10
AGT0000659,10
AGT0000660,10
AGT0000661,10
AGT0000662,10
AGT0000663,10
AGT0000664,9
AGT0000665,10
AGT0000666,10
AGT0000667,10
AGT0000668,10
AGT0000669,10
AGT0000670,10
AGT0000671,9
AGT0000672,9
AGT0000673,9
AGT0000674,10
AGT0000675,8
AGT0000676,9
AGT0000677,10
AGT0000678,10
AGT0000679,10
AGT0000680,9
AGT0000681,10
AGT0000682,9
AGT0000683,9
AGT0000684,10
AGT0000685,10
AGT0000686,10
AGT0000687,9
AGT0000688,10
AGT0000689,10
AGT0000690,10
AGT0000691,8
AGT0000692,9
AGT0000693,9
AGT0000694,9
AGT0000695,9
AGT0000696,10
AGT0000697,9
AGT0000698,10
AGT0000699,10
AGT0000700,10
AGT0000701,9
AGT0000702,8
AGT0000703,10
AGT0000704,7
AGT0000705,10
AGT0000706,9
AGT0000707,8
AGT0000708,10
AGT0000709,10
AGT0000710,8
AGT0000711,9
AGT0000712,8
AGT0000713,10
AGT0000714,10
AGT0000715,10
AGT0000716,9
AGT0000717,9
AGT0000718,10
AGT0000719,10
AGT0000720,10
AGT0000721,10
AGT0000722,10
AGT0000723,9
AGT0000724,10
AGT0000725,8
AGT0000726,9
AGT0000727,9
AGT0000728,10
AGT0000729,9
AGT0000730,10
AGT0000731,10
AGT0000732,10
AGT0000733,10
AGT0000734,10
AGT0000735,9
AGT0000736,6
AGT0000737,9
AGT0000738,10
AGT0000739,10
AGT0000740,10
AGT0000741,9
AGT0000742,10
AGT0000743,9
AGT0000744,10
AGT0000745,9
AGT0000746,10
AGT0000747,9
AGT0000748,8
AGT0000749,10
AGT0000750,10
AGT0000751,8
AGT0000752,10
AGT0000753,10
AGT0000754,10
AGT0000755,9
AGT0000756,10
AGT0000757,9
AGT0000758,9
AGT0000759,9
AGT0000760,10
AGT0000761,10
AGT0000762,10
AGT0000763,7
AGT0000764,10
AGT0000765,9
AGT0000766,9
AGT0000767,10
AGT0000768,9
AGT0000769,10
AGT0000770,10
AGT0000771,10
AGT0000772,10
AGT0000773,10
AGT0000774,10
AGT0000775,9
AGT0000776,9
AGT0000777,10
AGT0000778,10
AGT0000779,10
AGT0000780,10
AGT0000781,10
AGT0000782,9
AGT0000783,10
AGT0000784,10
AGT0000785,10
AGT0000786,9
AGT0000787,8
AGT0000788,9
AGT0000789,9
AGT0000790,10
AGT0000791,9
AGT0000792,10
AGT0000793,10
AGT0000794,10
AGT0000795,10
AGT0000796,10
AGT0000797,10
AGT0000798,10
AGT0000799,9
AGT0000800,10
AGT0000801,10
AGT0000802,10
AGT0000803,9
AGT0000804,10
AGT0000805,9
AGT0000806,10
AGT0000807,10
AGT0000808,10
AGT0000809,9
AGT0000810,10
AGT0000811,9
AGT0000812,10
AGT0000813,10
AGT0000814,10
AGT0000815,9
AGT0000816,10
AGT0000817,10
AGT0000818,10
AGT0000819,9
AGT0000820,10
AGT0000821,10
AGT0000822,10
AGT0000823,9
AGT0000824,10
AGT0000825,10
AGT0000826,9
AGT0000827,10
AGT0000828,10
AGT0000829,9
AGT0000830,9
AGT0000831,8
AGT0000832,10
AGT0000833,9
AGT0000834,10
AGT0000835,10
AGT0000836,10
AGT0000837,10
AGT0000838,9
AGT0000839,10
AGT0000840,9
AGT0000841,10
AGT0000842,10
AGT0000843,10
AGT0000844,10
AGT0000845,10
AGT0000846,9
AGT0000847,10
AGT0000848,9
AGT0000849,10
AGT0000850,10
AGT0000851,9
AGT0000852,10
AGT0000853,10
AGT0000854,10
AGT0000855,9
AGT0000856,10
AGT0000857,10
AGT0000858,9
AGT0000859,10
AGT0000860,10
AGT0000861,10
AGT0000862,8
AGT0000863,10
AGT0000864,9
AGT0000865,10
AGT0000866,9
AGT0000867,10
AGT0000868,10
AGT0000869,10
AGT0000870,10
AGT0000871,10
AGT0000872,9
AGT0000873,10
AGT0000874,10
AGT0000875,10
AGT0000876,10
AGT0000877,8
AGT0000878,9
AGT0000879,10
AGT0000880,10
AGT0000881,9
AGT0000882,9
AGT0000883,10
AGT0000884,10
AGT0000885,9
AGT0000886,8
AGT0000887,10
AGT0000888,10
AGT0000889,10
AGT0000890,8
AGT0000891,9
AGT0000892,10
AGT0000893,10
AGT0000894,10
AGT0000895,9
AGT0000896,10
AGT0000897,10
AGT0000898,8
AGT0000899,10
AGT0000900,10
AGT0000901,9
AGT0000902,10
AGT0000903,10
AGT0000904,10
AGT0000905,10
AGT0000906,8
AGT0000907,10
AGT0000908,10
AGT0000909,9
AGT0000910,10
AGT0000911,10
AGT0000912,10
AGT0000913,10
AGT0000914,10
AGT0000915,9
AGT0000916,10
AGT0000917,9
AGT0000918,10
AGT0000919,8
AGT0000920,10
AGT0000921,10
AGT0000922,6
AGT0000923,10
AGT0000924,10
AGT0000925,9
AGT0000926,10
AGT0000927,10
AGT0000928,9
AGT0000929,9
AGT0000930,10
AGT0000931,10
AGT0000932,10
AGT0000933,10
AGT0000934,9
AGT0000935,10
AGT0000936,9
AGT0000937,10
AGT0000938,10
AGT0000939,9
AGT0000940,9
AGT0000941,9
AGT0000942,8
AGT0000943,9
AGT0000944,10
AGT0000945,10
AGT0000946,9
AGT0000947,8
AGT0000948,10
AGT0000949,9
AGT0000950,9
AGT0000951,10
AGT0000952,9
AGT0000953,9
AGT0000954,9
AGT0000955,10
AGT0000956,9
AGT0000957,10
AGT0000958,7
AGT0000959,10
AGT0000960,9
AGT0000961,10
AGT0000962,9
AGT0000963,10
AGT0000964,10
AGT0000965,10
AGT0000966,9
AGT0000967,8
AGT0000968,9
AGT0000969,10
AGT0000970,10
AGT0000971,9
AGT0000972,10
AGT0000973,10
AGT0000974,8
AGT0000975,10
AGT0000976,10
AGT0000977,10
AGT0000978,10
AGT0000979,10
AGT0000980,10
AGT0000981,10
AGT0000982,10
AGT0000983,7
AGT0000984,10
AGT0000985,10
AGT0000986,10
AGT0000987,9
AGT0000988,9
AGT0000989,9
AGT0000990,9
AGT0000991,9
AGT0000992,10
AGT0000993,10
AGT0000994,10
AGT0000995,10
AGT0000996,10
AGT0000997,10
AGT0000998,10
AGT0000999,8
AGT0001000,9
